url,fetched_at,status,property_name,location,station_walk,built_ym,exclusive_area_sqm,layout,price_jpy
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77537793/,2025-09-18T23:23:59.983542,200,ベルドゥムール東京八丁堀,東京都中央区八丁堀２,徒歩1分,2011年5月,44.65㎡,1LDK,8100万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78393842/,2025-09-18T23:24:01.219783,200,ザ・晴海レジデンス,東京都中央区晴海５,徒歩12分,2009年3月,57.51㎡,1LDK,8280万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77690811/,2025-09-18T23:24:02.741160,200,グランシティ日本橋水天宮,東京都中央区日本橋中洲,徒歩6分,2003年8月,50.02㎡,1LDK,8480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78285401/,2025-09-18T23:24:04.040312,200,グランシティ日本橋水天宮,東京都中央区日本橋中洲,徒歩6分,2003年8月,50.02㎡,1LDK,8480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77646112/,2025-09-18T23:24:05.393148,200,グランシティ日本橋水天宮,東京都中央区日本橋中洲,徒歩6分,2003年8月,50.02㎡,1LDK,8480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78371991/,2025-09-18T23:24:06.484295,200,ウィルローズ月島,東京都中央区月島１,徒歩3分,2010年3月,48.7㎡,1LDK,8480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77695751/,2025-09-18T23:24:07.820127,200,ライオンズマンション月島,東京都中央区月島２,徒歩3分,1995年7月,62.53㎡,3LDK,8798万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77756699/,2025-09-18T23:24:08.934609,200,BELISTA人形町,東京都中央区日本橋堀留町１,徒歩3分,2011年10月,44.66㎡,1LDK,8980万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77629343/,2025-09-18T23:24:10.097945,200,勝どきザ・タワー,東京都中央区勝どき５,徒歩6分,2016年11月,42.04㎡,1LDK,8999万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77732508/,2025-09-18T23:24:11.524551,200,勝どき ザ・タワー,東京都中央区勝どき５,徒歩6分,2016年11月,42.04㎡,1LDK,8999万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78290041/,2025-09-18T23:24:12.746885,200,ラヴェンナ人形町,東京都中央区日本橋人形町３,徒歩1分,1999年2月,40.48㎡,1LDK,8999万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77682332/,2025-09-18T23:24:13.970116,200,コスモ東京ベイタワー,東京都中央区勝どき５-12-4,徒歩9分,2000年10月,64.39㎡,1LDK+S（納戸）,9200万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77682422/,2025-09-18T23:24:15.244260,200,クリオ東日本橋,東京都中央区東日本橋３,徒歩1分,2017年2月,48.93㎡,2LDK,9200万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/?page=2,2025-09-18T23:24:41.157850,200,クリオ東日本橋,東京都中央区東日本橋３,徒歩1分,2017年2月,48.93㎡,2LDK,9200万円
